id,region,depth,substrate_type,structural_complexity,water_temperature,salinity,light_availability,coral_cover,algal_cover,marine_protection_status,proximity_to_human_activity,species_Porites,species_Favia,species_Stylophora,species_Acropora,species_Goniastrea,species_Montipora,species_Pocillopora,species_Montastraea,species_Orbicella,species_Siderastrea,species_Fungia
1,Red Sea,20.7,Rubble,0.55,28.8,40.9,Low,60.8,5.8,MPA,28.1,1,1,0,0,0,0,0,0,0,0,0
2,Red Sea,25.9,Sandy,0.86,27.0,40.6,Low,50.9,7.5,Unprotected,3.2,0,1,0,0,0,0,0,0,0,0,0
3,Red Sea,11.3,Rubble,0.71,27.9,40.4,Medium,55.1,16.1,Unprotected,38.4,1,0,1,0,0,0,0,0,0,0,0
4,Red Sea,30.0,Sandy,0.77,26.6,40.4,Low,60.8,27.5,MPA,10.5,1,0,0,0,0,0,0,0,0,0,0
5,Red Sea,12.3,Rubble,0.83,29.7,39.2,Medium,64.9,13.6,MPA,68.7,1,0,1,0,0,0,0,0,0,0,0
6,Red Sea,9.2,Rocky,0.52,26.5,39.3,High,68.4,26.4,MPA,37.0,0,1,0,1,0,0,0,0,0,0,0
7,Red Sea,22.9,Rocky,0.83,28.2,39.4,Low,62.2,22.5,Unprotected,48.5,0,0,1,1,0,0,0,0,0,0,0
8,Great Barrier Reef,18.5,Sandy,0.84,25.4,35.4,Medium,64.7,28.9,MPA,105.7,1,0,0,0,1,0,0,0,0,0,0
9,Coral Triangle,36.1,Rubble,0.58,27.6,34.9,Low,47.0,18.4,Unprotected,35.3,1,0,0,0,0,0,0,0,0,0,0
10,Red Sea,11.4,Rubble,0.63,28.9,39.3,Medium,60.7,7.4,MPA,24.4,1,0,1,1,0,0,0,0,0,0,0
11,Red Sea,29.1,Rocky,0.54,29.5,39.1,Low,58.0,8.4,MPA,37.8,1,1,0,0,0,0,0,0,0,0,0
12,Great Barrier Reef,18.9,Sandy,0.78,28.3,34.3,Medium,76.7,23.3,MPA,113.7,0,0,0,0,1,1,0,0,0,0,0
13,Red Sea,5.1,Sandy,0.66,28.8,39.2,High,63.7,12.6,Unprotected,28.4,0,1,1,1,0,0,0,0,0,0,0
14,Red Sea,21.2,Rocky,0.78,28.5,39.1,Low,57.8,14.6,MPA,75.2,1,0,1,0,0,0,0,0,0,0,0
15,Red Sea,25.7,Rocky,0.61,28.7,39.4,Low,50.2,29.3,Unprotected,7.6,1,0,1,0,0,0,0,0,0,0,0
16,Red Sea,22.3,Rubble,0.58,26.2,40.3,Low,58.1,25.8,Unprotected,3.6,1,0,0,0,0,0,0,0,0,0,0
17,Coral Triangle,19.3,Sandy,0.66,27.7,34.5,Medium,60.7,25.8,Unprotected,11.4,1,0,0,0,0,0,0,0,0,0,0
